　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　　肖申克的救赎　　　　　　　	   9.6    	 1181044  	希望让人自由。　　　
　　　　　　　　霸王别姬　　　　　　　　	   9.6    	  866314  	风华绝代。　　　　　
　　　　　　这个杀手不太冷　　　　　　　	   9.4    	 1088442  	怪蜀黍和小萝莉不得不说的故事。
　　　　　　　　阿甘正传　　　　　　　　	   9.4    	  931099  	一部美国近现代史。　
　　　　　　　　美丽人生　　　　　　　　	   9.5    	  543881  	最美的谎言。　　　　
　　　　　　　泰坦尼克号　　　　　　　　	   9.3    	  867431  	失去的才是永恒的。 
　　　　　　　　千与千寻　　　　　　　　	   9.3    	  861656  	最好的宫崎骏，最好的久石让。 
　　　　　　　辛德勒的名单　　　　　　　	   9.5    	  489668  	拯救一个人，就是拯救整个世界。
　　　　　　　　盗梦空间　　　　　　　　	   9.3    	  951069  	诺兰给了我们一场无法盗取的梦。
　　　　　　　机器人总动员　　　　　　　	   9.3    	  629898  	小瓦力，大人生。　　
　　　　　　忠犬八公的故事　　　　　　　	   9.3    	  612319  	永远都不能忘记你所爱的人。
　　　　　　三傻大闹宝莱坞　　　　　　　	   9.2    	  850906  	英俊版憨豆，高情商版谢耳朵。
　　　　　　　海上钢琴师　　　　　　　　	   9.2    	  711909  	每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
　　　　　　　放牛班的春天　　　　　　　	   9.2    	  583699  	天籁一般的童声，是最接近上帝的存在。 
　　　　　大话西游之大圣娶亲　　　　　　	   9.2    	  642812  	一生所爱。　　　　　
　　　　　　　楚门的世界　　　　　　　　	   9.2    	  622660  	如果再也不能见到你，祝你早安，午安，晚安。
　　　　　　　　　教父　　　　　　　　　	   9.2    	  431432  	千万不要记恨你的对手，这样会让你失去理智。
　　　　　　　　　龙猫　　　　　　　　　	   9.1    	  528031  	人人心中都有个龙猫，童年就永远不会消失。
　　　　　　　　星际穿越　　　　　　　　	   9.2    	  639899  	爱是一种力量，让我们超越时空感知它的存在。
